Dataset,Method,File,Accuracy,BalancedAcc,F1,HarmonicMean_PI,Interpretability,kendall_tau,MCC,PR_AUC,Precision,PredictiveScore,Recall,ROC_AUC,separability(1-N3)
japanese-vowels,CTGAN,CTGAN.csv,0.9895 ± 0.0032,0.9895 ± 0.0030,0.9878 ± 0.0037,0.7485 ± 0.0403,0.6016 ± 0.0513,0.4484 ± 0.1170,0.9786 ± 0.0065,0.9991 ± 0.0004,0.9863 ± 0.0062,0.9943 ± 0.0018,0.9893 ± 0.0028,0.9993 ± 0.0003,0.9865 ± 0.0056
japanese-vowels,GaussianCopula,GaussianCopula.csv,0.9861 ± 0.0000,0.9858 ± 0.0000,0.9838 ± 0.0000,0.7123 ± 0.0000,0.5556 ± 0.0000,0.9121 ± 0.0000,0.9716 ± 0.0000,0.9985 ± 0.0000,0.9840 ± 0.0000,0.9923 ± 0.0000,0.9835 ± 0.0000,0.9988 ± 0.0000,0.9910 ± 0.0000
japanese-vowels,K-IPO,K-IPO.csv,0.9964 ± 0.0005,0.9963 ± 0.0005,0.9958 ± 0.0006,0.7549 ± 0.0138,0.6071 ± 0.0180,0.9626 ± 0.0208,0.9926 ± 0.0010,0.9999 ± 0.0000,0.9956 ± 0.0014,0.9981 ± 0.0003,0.9959 ± 0.0014,0.9999 ± 0.0000,0.9980 ± 0.0002
japanese-vowels,SMOTE,SMOTEWB.csv,0.9974 ± 0.0005,0.9975 ± 0.0006,0.9970 ± 0.0006,0.7467 ± 0.0264,0.5968 ± 0.0336,0.9341 ± 0.0000,0.9947 ± 0.0011,0.9999 ± 0.0000,0.9963 ± 0.0013,0.9986 ± 0.0003,0.9977 ± 0.0010,0.9999 ± 0.0000,0.9984 ± 0.0001
japanese-vowels,TabDDPM,TabDDPM.csv,0.9880 ± 0.0016,0.9879 ± 0.0018,0.9860 ± 0.0019,0.7477 ± 0.0381,0.6008 ± 0.0495,0.6989 ± 0.1294,0.9756 ± 0.0033,0.9990 ± 0.0003,0.9849 ± 0.0026,0.9935 ± 0.0009,0.9872 ± 0.0034,0.9992 ± 0.0003,0.9891 ± 0.0013
japanese-vowels,TVAE,TVAE.csv,0.9884 ± 0.0015,0.9885 ± 0.0014,0.9865 ± 0.0018,0.7411 ± 0.0215,0.5913 ± 0.0273,0.8549 ± 0.0362,0.9763 ± 0.0032,0.9990 ± 0.0003,0.9835 ± 0.0035,0.9937 ± 0.0009,0.9895 ± 0.0016,0.9992 ± 0.0002,0.9898 ± 0.0007
lines-overload-50,CTGAN,CTGAN.csv,0.9950 ± 0.0003,0.9953 ± 0.0003,0.9942 ± 0.0004,0.7808 ± 0.0058,0.6415 ± 0.0078,0.7233 ± 0.0081,0.9898 ± 0.0006,0.9998 ± 0.0000,0.9911 ± 0.0009,0.9974 ± 0.0002,0.9974 ± 0.0007,0.9998 ± 0.0000,0.9314 ± 0.0137
lines-overload-50,GaussianCopula,GaussianCopula.csv,0.9947 ± 0.0000,0.9951 ± 0.0000,0.9940 ± 0.0000,0.7763 ± 0.0000,0.6355 ± 0.0000,0.7785 ± 0.0000,0.9893 ± 0.0000,0.9995 ± 0.0000,0.9900 ± 0.0000,0.9971 ± 0.0000,0.9980 ± 0.0000,0.9997 ± 0.0000,0.9756 ± 0.0000
lines-overload-50,K-IPO,K-IPO.csv,0.9978 ± 0.0003,0.9981 ± 0.0003,0.9974 ± 0.0004,0.7825 ± 0.0027,0.6434 ± 0.0036,0.8509 ± 0.0059,0.9955 ± 0.0007,0.9992 ± 0.0002,0.9949 ± 0.0008,0.9985 ± 0.0002,1.0000 ± 0.0000,0.9995 ± 0.0001,0.9885 ± 0.0004
lines-overload-50,SMOTE,SMOTEWB.csv,0.9976 ± 0.0004,0.9979 ± 0.0003,0.9972 ± 0.0004,0.7777 ± 0.0037,0.6369 ± 0.0051,0.8309 ± 0.0027,0.9951 ± 0.0008,0.9991 ± 0.0000,0.9945 ± 0.0008,0.9984 ± 0.0002,1.0000 ± 0.0000,0.9994 ± 0.0000,0.9890 ± 0.0001
lines-overload-50,TabDDPM,TabDDPM.csv,0.9949 ± 0.0008,0.9951 ± 0.0009,0.9941 ± 0.0010,0.7729 ± 0.0067,0.6310 ± 0.0090,0.1289 ± 0.0575,0.9897 ± 0.0017,0.9996 ± 0.0001,0.9922 ± 0.0023,0.9973 ± 0.0005,0.9961 ± 0.0023,0.9997 ± 0.0001,0.7126 ± 0.0569
lines-overload-50,TVAE,TVAE.csv,0.9967 ± 0.0007,0.9968 ± 0.0006,0.9961 ± 0.0008,0.7778 ± 0.0046,0.6371 ± 0.0061,0.7728 ± 0.0080,0.9932 ± 0.0014,0.9998 ± 0.0001,0.9943 ± 0.0016,0.9982 ± 0.0004,0.9979 ± 0.0007,0.9999 ± 0.0001,0.9869 ± 0.0001
magic-gamma-telescope,CTGAN,CTGAN.csv,0.9677 ± 0.0010,0.9652 ± 0.0011,0.9618 ± 0.0011,0.6573 ± 0.0595,0.4976 ± 0.0689,0.2534 ± 0.1929,0.9343 ± 0.0019,0.9900 ± 0.0003,0.9768 ± 0.0039,0.9789 ± 0.0006,0.9473 ± 0.0038,0.9895 ± 0.0004,0.9393 ± 0.0034
magic-gamma-telescope,GaussianCopula,GaussianCopula.csv,0.9524 ± 0.0000,0.9507 ± 0.0000,0.9442 ± 0.0000,0.7188 ± 0.0000,0.5714 ± 0.0000,1.0000 ± 0.0000,0.9029 ± 0.0000,0.9850 ± 0.0000,0.9495 ± 0.0000,0.9687 ± 0.0000,0.9392 ± 0.0000,0.9860 ± 0.0000,0.9159 ± 0.0000
magic-gamma-telescope,K-IPO,K-IPO.csv,0.9394 ± 0.0076,0.9378 ± 0.0074,0.9291 ± 0.0087,0.6673 ± 0.0157,0.5119 ± 0.0194,1.0000 ± 0.0000,0.8765 ± 0.0155,0.9788 ± 0.0029,0.9321 ± 0.0137,0.9591 ± 0.0052,0.9265 ± 0.0088,0.9812 ± 0.0024,0.9509 ± 0.0067
